,r2_boot_values,openness,conscientiousness,extraversion,agreeableness,neuroticism,n_boot,feature,seed,fold,filter,audio_type,trait,model
20,0.18844529696652354,0.20768461064987387,0.18126930550342302,0.2085461100359446,0.12232614046702717,0.2224003181763491,20,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
21,0.1789980374166172,0.19091702296673474,0.17759372092779802,0.2018820757152443,0.10603217648170826,0.21856519099160077,21,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
22,0.19353890417743605,0.21160214972780012,0.18918371840615256,0.2095765511213834,0.12753359484575533,0.22979850678608882,22,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
23,0.20522399341413217,0.22986864440561972,0.19649007132648233,0.22530176902345622,0.13533683814797892,0.2391226441671236,23,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
24,0.18807762130880118,0.19754230083576496,0.1964084831830082,0.20189730249864224,0.12254091771534281,0.22199910231124764,24,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
25,0.17351921732993686,0.1835577683899542,0.17802530565013042,0.18894450823594988,0.11049519337630676,0.206573310997343,25,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
26,0.18555598083210065,0.1978389198415741,0.17558505188822626,0.2076953910037379,0.12346060054490682,0.2231999408820582,26,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
27,0.20140342313665266,0.22404162716102316,0.1926606164662229,0.22675473170210603,0.12987933739453716,0.2336808029593741,27,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
28,0.18672772669535379,0.2087800705677405,0.17567383651574042,0.21236939347327188,0.1177330262258891,0.21908230669412698,28,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
29,0.1903592427940407,0.1992987377964074,0.18326386834997488,0.20847728522031295,0.12967261099081506,0.23108371161269325,29,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
30,0.1960961337098655,0.20343204180304664,0.19673692312283386,0.21186101932440993,0.13320399451303921,0.23524668978599783,30,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
31,0.19472122532450792,0.20580332489883202,0.19595845955230962,0.21500135940035303,0.12131597030756003,0.23552701246348495,31,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
32,0.18631895627080544,0.2058008697317978,0.18074038180253849,0.20713469363931014,0.11399850351995766,0.2239203326604231,32,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
33,0.18754738969504028,0.2032745656842717,0.18622092162297454,0.20306594393216626,0.11827661717820459,0.22689890005758429,33,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
34,0.1859442869726521,0.19978664271032365,0.1837894373215746,0.20867460435348006,0.11727944822769187,0.22019130225019035,34,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
