,r2_boot_values,n_boot,seed,fold,filter,feature,trait
36,0.08647941273484232,6,0,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
37,0.09420893182984384,7,0,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
38,0.09333238855571128,8,0,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
39,0.08497505238561136,9,0,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
40,0.09269951925782086,0,0,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
41,0.0975952782257434,1,0,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
42,0.09308919753249334,2,0,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
43,0.09626379226249057,3,0,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
44,0.09029071413218517,4,0,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
45,0.08013863696852341,5,0,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
46,0.09831080232440288,6,0,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
47,0.08058624041001054,7,0,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
48,0.09593104593981341,8,0,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
49,0.09271873811447942,9,0,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
50,0.09941446688230555,0,1,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
51,0.10685310705184745,1,1,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
52,0.11882500111793699,2,1,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
53,0.10349422133546604,3,1,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
54,0.11906669480808503,4,1,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
55,0.0909068315191405,5,1,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
56,0.09806226198280502,6,1,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
57,0.10264296914395066,7,1,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
58,0.10009008978749627,8,1,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
59,0.06791272557584671,9,1,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
60,0.08814165129302387,0,1,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
61,0.09432598635453415,1,1,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
62,0.0977730790060056,2,1,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
63,0.1103790004602501,3,1,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
64,0.10287035057215274,4,1,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
65,0.085022112634997,5,1,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
66,0.09857971944929264,6,1,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
67,0.08769433093802739,7,1,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
68,0.10453975296495861,8,1,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
69,0.0995233832121319,9,1,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
70,0.09999611807749823,0,1,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
71,0.09317606892786512,1,1,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
72,0.08885933277053637,2,1,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
73,0.08293625767087143,3,1,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
74,0.09462856071701904,4,1,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
75,0.10605143290269237,5,1,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
76,0.09153489068297649,6,1,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
77,0.08675125482213755,7,1,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
78,0.10029445807789497,8,1,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
79,0.09922072507138639,9,1,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
80,0.10968779404556235,0,1,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
81,0.08530506860107771,1,1,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
82,0.0900903881089927,2,1,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
83,0.07947355792985691,3,1,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
84,0.07509287301625342,4,1,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
85,0.09966686088574264,5,1,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
